row,gender,Insurer,risk,with name?,state,coverage,duration,Compensation,Medical fee per incident,Medical fee in period,Franchise percentage,Minimum franchise,previous period,History of damage?,Bachelor's calculation?,Total premium?,Risk percentage,churn
33,male,person,moderate risk,no,Razavi Khorasan,daily,109,3040000000,10000000,20000000,5,250000,yes,no,no,3586828,22,yes
34,male,person,moderate risk,no,Ardabil,short term,363,3040000000,20000000,40000000,5,250000,no,no,no,3190176,0,no
35,male,person,moderate risk,no,Tehran,short term,364,1520000000,30000000,30000000,5,250000,no,no,no,2152224,0,no
36,male,person,risky,no,Razavi Khorasan,annually,365,1520000000,5000000,5000000,5,250000,yes,no,no,4806676,0,yes
37,male,person,moderate risk,no,Ardabil,annually,365,7600000000,10000000,50000000,5,250000,yes,no,no,19751722,0,no
38,male,person,risky,no,Isfahan,annually,365,6080000000,20000000,80000000,5,500000,yes,no,no,20081276,0,yes
39,male,company,low risk,yes,Razavi Khorasan,annually,365,7600000000,10000000,50000000,5,250000,yes,no,no,68851876,12,yes
40,female,company,low risk,no,Tehran,annually,365,6080000000,114000000,456000000,0,0,yes,no,yes,20181474,0,yes
41,male,person,low risk,no,Razavi Khorasan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,3248052,0,yes
42,male,person,low risk,no,Isfahan,annually,365,3040000000,30000000,60000000,5,500000,no,no,no,4524186,0,no
43,male,company,risky,no,Isfahan,annually,365,7600000000,15000000,75000000,5,500000,yes,no,no,33033204,0,yes
44,male,company,risky,no,Isfahan,annually,365,3040000000,15000000,30000000,5,500000,yes,no,no,11946730,0,yes
45,male,person,low risk,no,Ardabil,annually,365,7600000000,20000000,100000000,5,250000,yes,no,no,4309536,0,yes
46,male,person,low risk,no,Hormozgan,annually,365,1520000000,10000000,10000000,5,250000,no,no,no,3788440,0,no
47,male,person,risky,no,Hormozgan,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,4016976,0,no
48,male,person,low risk,no,Fars,short term,30,3040000000,30000000,60000000,5,250000,no,no,no,2009442,0,no
49,female,company,moderate risk,no,Isfahan,annually,365,3040000000,30000000,60000000,5,250000,yes,no,no,6219974,0,no
50,male,person,risky,no,Tehran,annually,365,3040000000,50000000,100000000,0,0,yes,no,no,7317710,0,yes
51,male,person,low risk,no,Isfahan,annually,365,3040000000,10000000,20000000,5,500000,yes,no,no,3220170,0,yes
52,male,person,moderate risk,no,Tehran,short term,364,4560000000,50000000,150000000,0,0,no,no,yes,4452000,0,no
53,male,person,risky,no,Khuzestan,daily,181,1520000000,40000000,40000000,5,250000,yes,no,no,3102832,0,yes
54,male,person,moderate risk,no,Hormozgan,annually,365,7600000000,10000000,50000000,5,250000,no,no,no,3831900,0,no
55,male,person,moderate risk,no,Razavi Khorasan,daily,90,3040000000,10000000,20000000,5,250000,no,no,no,2310376,15,no
56,male,person,moderate risk,yes,Isfahan,annually,365,1520000000,20000000,20000000,5,500000,no,no,no,4328192,0,no
57,male,person,moderate risk,no,Khuzestan,daily,30,1520000000,10000000,10000000,5,250000,no,no,no,1060000,0,no
58,male,person,low risk,no,Semnan,annually,365,1520000000,25000000,50000000,5,250000,no,no,no,1913406,0,no
59,female,person,risky,no,Isfahan,annually,365,6080000000,20000000,80000000,5,500000,no,no,no,1687414,0,no
60,male,person,moderate risk,no,Ardabil,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,16258386,0,no
61,male,person,low risk,no,Tehran,daily,90,4560000000,30000000,90000000,5,250000,no,no,no,1583640,0,no
62,male,person,risky,no,Tehran,annually,365,3040000000,30000000,60000000,0,0,yes,no,no,5906638,0,yes
63,male,person,moderate risk,no,Mazandaran,annually,365,3040000000,50000000,150000000,5,0,no,no,no,13686508,0,no
64,male,company,risky,yes,Ardabil,annually,365,6080000000,20000000,80000000,5,250000,no,no,no,4116510,0,no
65,male,person,moderate risk,no,Hormozgan,annually,365,4560000000,10000000,30000000,5,250000,no,no,no,3143006,0,no
66,male,person,low risk,no,Semnan,annually,365,6080000000,40000000,160000000,5,250000,no,no,no,10871148,0,no
67,male,person,moderate risk,no,Isfahan,short term,30,3040000000,20000000,40000000,5,500000,no,no,no,1352666,0,no
68,male,person,risky,no,Kerman,annually,365,3040000000,25000000,50000000,10,250000,no,no,no,5240746,0,no
69,male,person,moderate risk,no,Tehran,annually,365,3040000000,20000000,40000000,5,250000,yes,no,no,3606862,0,yes
70,male,person,risky,yes,Khuzestan,daily,30,1520000000,20000000,40000000,5,250000,yes,yes,no,1093284,0,yes
71,male,person,moderate risk,no,Chaharmahal and Bakhtiari,annually,365,3040000000,10000000,20000000,0,0,no,no,no,1622542,0,no
72,male,person,moderate risk,no,West Azerbaijan,annually,365,3040000000,30000000,60000000,5,250000,no,no,no,4424016,0,no
73,female,person,low risk,no,Qom,annually,365,3040000000,30000000,60000000,5,500000,yes,no,no,2964714,0,yes
74,male,company,moderate risk,no,Markazi,daily,119,3040000000,30000000,60000000,5,250000,no,no,no,4191028,0,no
75,male,company,low risk,no,Hormozgan,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,2789072,0,no
76,male,person,low risk,no,Razavi Khorasan,annually,365,4560000000,10000000,30000000,5,250000,yes,no,yes,2962382,0,yes
77,male,company,moderate risk,no,Isfahan,annually,365,6080000000,10000000,40000000,5,250000,yes,no,no,2167594,0,yes
78,male,person,low risk,no,South Khorasan,annually,365,3040000000,5000000,10000000,5,250000,no,no,no,1060000,0,no
79,male,person,risky,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,no,no,no,1060000,0,no
80,male,company,moderate risk,yes,Razavi Khorasan,annually,365,7600000000,10000000,50000000,5,250000,yes,yes,no,32078462,71,yes
81,female,person,risky,no,Semnan,annually,365,3040000000,30000000,60000000,5,250000,no,no,no,5411300,0,no
82,male,company,moderate risk,yes,Isfahan,annually,365,3040000000,50000000,100000000,5,500000,yes,no,no,26231184,0,no
83,female,person,low risk,no,Semnan,annually,365,3040000000,30000000,60000000,5,250000,no,no,no,5942572,0,no
84,male,person,risky,no,Isfahan,short term,90,1520000000,20000000,20000000,5,500000,no,no,no,2728440,0,no
85,male,person,moderate risk,no,Qom,annually,365,1520000000,10000000,10000000,0,0,yes,no,no,1480714,30,yes
86,female,company,moderate risk,no,Ardabil,annually,365,3040000000,50000000,100000000,5,250000,no,no,no,14217568,0,no
87,male,person,risky,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,no,no,no,1060000,0,no
88,male,person,risky,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,no,no,no,1060000,0,no
89,male,person,risky,no,Isfahan,annually,365,4560000000,20000000,60000000,5,500000,yes,no,no,16284780,0,yes
90,male,company,risky,no,Semnan,annually,365,3040000000,100000000,200000000,5,250000,no,no,no,11257094,0,no
91,male,person,moderate risk,yes,Isfahan,annually,365,4560000000,20000000,60000000,5,250000,yes,no,no,4402816,0,yes
92,male,company,moderate risk,no,Qazvin,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,6206088,0,no
93,male,company,moderate risk,no,Semnan,annually,365,3040000000,100000000,200000000,5,250000,no,no,no,12606368,0,no
94,male,company,moderate risk,no,Qazvin,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,6206088,0,no
95,male,company,moderate risk,no,Qazvin,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,6206088,0,no
96,male,company,moderate risk,no,Qazvin,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,6206088,0,no
97,male,company,moderate risk,no,Qazvin,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,6206088,0,no
98,male,company,low risk,no,Qazvin,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,5093088,0,no
99,male,person,moderate risk,yes,Khuzestan,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,1725680,0,no
100,male,person,moderate risk,yes,Khuzestan,daily,181,1520000000,20000000,20000000,5,250000,no,no,no,1060000,0,no
101,male,person,moderate risk,no,Kordestan,annually,365,3040000000,20000000,40000000,10,250000,no,no,yes,2244391,0,no
102,male,person,risky,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,yes,no,no,1060000,0,no
103,male,person,risky,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,yes,no,no,1060000,0,no
104,male,person,risky,no,Khuzestan,daily,30,1520000000,30000000,30000000,5,250000,yes,no,no,1060000,0,no
105,male,person,risky,no,Razavi Khorasan,annually,365,1520000000,5000000,5000000,5,250000,yes,no,no,2914788,0,yes
106,male,person,risky,no,Razavi Khorasan,annually,365,1520000000,5000000,5000000,5,250000,yes,no,no,4572204,0,yes
107,male,company,moderate risk,no,Isfahan,short term,89,3040000000,20000000,40000000,5,250000,no,no,no,4562876,0,no
108,male,company,moderate risk,no,Tehran,daily,31,4000000000,30000000,90000000,5,250000,yes,no,no,1080000,0,yes
109,male,person,risky,no,Isfahan,annually,365,4560000000,20000000,60000000,5,500000,yes,no,no,19377966,0,yes
110,female,person,moderate risk,no,Qom,short term,90,4560000000,30000000,150000000,0,0,no,no,no,2580464,30,no
111,male,person,risky,no,Hormozgan,annually,365,1520000000,10000000,10000000,5,250000,no,no,yes,712500,0,no
112,male,person,risky,no,Hormozgan,annually,365,1520000000,10000000,10000000,5,250000,no,no,yes,712500,0,no
113,male,person,moderate risk,no,Isfahan,short term,30,1520000000,20000000,60000000,5,500000,no,no,no,2350656,0,no
114,male,person,moderate risk,no,Kerman,annually,365,3040000000,5000000,10000000,5,250000,yes,no,no,2366450,0,yes
115,male,person,low risk,no,Mazandaran,annually,365,3040000000,30000000,60000000,0,250000,yes,no,no,2557462,0,yes
116,male,person,moderate risk,no,Mazandaran,annually,365,1520000000,10000000,10000000,0,250000,no,no,no,4180852,0,no
117,male,person,moderate risk,no,Mazandaran,annually,365,3040000000,40000000,80000000,0,250000,yes,no,no,8134228,0,yes
118,male,person,low risk,no,Kerman,annually,365,1520000000,2000000,2000000,5,250000,yes,no,no,1060000,0,yes
119,male,person,risky,no,Lorestan,annually,365,3040000000,40000000,80000000,5,400000,yes,no,no,8104442,0,yes
120,male,person,moderate risk,no,Markazi,daily,60,1520000000,20000000,20000000,5,250000,no,no,no,1305178,0,no
121,male,person,risky,no,Isfahan,annually,365,3040000000,30000000,60000000,5,500000,yes,no,no,5204600,0,yes
122,male,person,moderate risk,no,Hormozgan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,yes,9369999,0,yes
123,male,person,risky,no,Isfahan,annually,365,7600000000,20000000,100000000,5,500000,no,no,no,34756128,0,no
124,male,person,low risk,no,Isfahan,short term,30,1520000000,30000000,30000000,5,250000,no,no,no,2421252,0,no
125,male,person,low risk,no,Isfahan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,3777734,0,no
126,female,person,risky,no,Sistan and Baluchestan,annually,365,12160000000,0,0,0,0,no,no,yes,6784000,0,no
127,male,person,moderate risk,no,Semnan,annually,365,1520000000,10000000,10000000,5,250000,yes,no,no,2129116,0,yes
128,male,person,moderate risk,no,Qazvin,daily,30,3040000000,10000000,20000000,5,250000,no,no,no,1060000,0,no
129,female,company,low risk,no,East Azarbaijan,annually,365,3040000000,20000000,40000000,10,250000,no,no,no,5820672,0,no
130,male,person,low risk,no,East Azarbaijan,annually,365,3040000000,20000000,40000000,10,250000,no,no,no,12066722,0,no
131,male,person,moderate risk,no,Isfahan,annually,365,3040000000,20000000,40000000,5,500000,yes,no,no,3192508,0,yes
132,male,company,moderate risk,no,Yazd,annually,365,1520000000,20000000,20000000,10,250000,no,no,no,2196956,0,no
133,female,person,low risk,no,Razavi Khorasan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,1327756,0,yes
134,male,person,moderate risk,no,Isfahan,annually,365,1520000000,50000000,50000000,5,250000,no,no,no,6011260,0,no
135,male,person,low risk,no,Zanjan,short term,90,1520000000,20000000,20000000,5,300000,no,no,no,1060000,0,no
136,male,person,moderate risk,no,Khuzestan,annually,365,3040000000,40000000,80000000,5,250000,no,no,no,6552072,0,no
137,male,company,moderate risk,no,Khuzestan,daily,126,4560000000,20000000,120000000,5,250000,no,no,no,10549014,0,no
138,male,company,moderate risk,no,Khuzestan,daily,63,3040000000,20000000,40000000,5,250000,no,no,no,2162294,0,no
139,female,person,moderate risk,no,Mazandaran,annually,365,1520000000,10000000,10000000,0,250000,no,no,no,3405250,0,no
140,male,company,risky,no,Qom,annually,365,3040000000,20000000,100000000,5,500000,yes,no,no,7051968,0,yes
141,male,person,moderate risk,no,Razavi Khorasan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,9707268,47,yes
142,male,person,moderate risk,no,Qom,annually,365,3040000000,60000000,180000000,5,500000,yes,no,no,2208298,0,yes
143,female,person,moderate risk,no,Hormozgan,short term,30,1520000000,10000000,10000000,5,250000,no,no,no,1060000,0,no
144,male,company,moderate risk,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,27063920,0,no
145,male,company,risky,no,Isfahan,short term,90,1520000000,40000000,40000000,5,250000,no,no,no,1897718,0,no
146,male,person,risky,no,Kermanshah,daily,90,3040000000,10000000,20000000,0,0,no,no,no,1499370,0,no
147,male,person,moderate risk,no,Isfahan,annually,365,1520000000,10000000,10000000,10,250000,no,no,no,1700770,0,no
148,male,person,low risk,no,Isfahan,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,4820668,0,no
149,male,person,moderate risk,yes,Isfahan,annually,365,4560000000,20000000,60000000,5,250000,yes,no,no,1397822,0,yes
150,female,company,low risk,no,Markazi,daily,181,3040000000,20000000,40000000,10,250000,no,no,no,2597106,0,no
151,male,company,risky,no,Isfahan,short term,90,1520000000,40000000,40000000,5,250000,no,no,no,1897718,0,no
152,male,person,low risk,no,Kerman,annually,365,3040000000,25000000,50000000,5,250000,no,no,no,3181272,0,no
153,male,company,low risk,no,East Azarbaijan,annually,365,1520000000,20000000,20000000,10,250000,no,no,no,3592446,0,no
154,male,person,low risk,no,East Azarbaijan,annually,365,4560000000,10000000,30000000,10,250000,yes,no,no,4243922,0,yes
155,male,person,low risk,no,Tehran,daily,364,1520000000,20000000,20000000,5,250000,yes,no,no,1060000,0,yes
156,male,company,low risk,no,Fars,annually,365,4560000000,50000000,150000000,5,250000,yes,no,no,4741380,0,yes
157,male,person,low risk,no,Isfahan,annually,365,1520000000,30000000,30000000,5,250000,no,no,no,1959622,0,no
158,female,person,moderate risk,no,Gilan,short term,90,1520000000,20000000,20000000,5,250000,yes,no,no,1279844,0,yes
159,male,person,low risk,no,Qom,annually,365,1520000000,30000000,60000000,5,500000,no,no,no,1987818,0,no
160,male,person,low risk,no,Kordestan,annually,365,3040000000,20000000,40000000,5,250000,no,no,yes,2680020,0,no
161,male,person,moderate risk,no,Qom,annually,365,3040000000,20000000,60000000,5,500000,no,no,no,6330002,0,no
162,male,person,low risk,no,Khuzestan,annually,365,3040000000,10000000,20000000,5,250000,yes,no,no,2146924,0,yes
163,male,person,risky,no,Isfahan,annually,365,6080000000,20000000,80000000,5,500000,yes,no,no,27080138,0,yes
164,male,company,moderate risk,no,Tehran,annually,365,7600000000,20000000,100000000,5,250000,no,no,no,44928312,0,no
165,male,person,moderate risk,no,Isfahan,annually,365,15200000000,22000000,220000000,5,250000,yes,no,no,82386380,0,no
166,male,company,low risk,no,Razavi Khorasan,annually,365,6080000000,20000000,80000000,5,250000,no,no,no,44573000,10,no
167,male,person,risky,no,Isfahan,annually,365,3040000000,30000000,60000000,5,250000,yes,no,no,5667078,0,yes
168,male,person,low risk,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,no,no,no,7284744,60,no
169,male,person,moderate risk,no,Qom,daily,359,3040000000,60000000,180000000,5,250000,yes,no,no,2171940,0,yes
170,male,person,risky,no,Isfahan,annually,365,3040000000,15000000,30000000,5,250000,yes,no,no,6509460,0,yes
171,male,person,moderate risk,no,Fars,annually,365,1520000000,30000000,30000000,5,250000,no,no,no,1060000,0,no
172,male,person,low risk,no,Mazandaran,annually,365,1520000000,30000000,30000000,5,250000,no,no,no,1387010,0,no
173,female,person,low risk,no,Kerman,annually,365,3040000000,150000000,300000000,5,250000,yes,no,no,5503096,0,yes
174,male,person,moderate risk,no,Tehran,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,4097112,0,no
175,male,company,risky,no,Khuzestan,daily,30,7600000000,30000000,150000000,5,250000,yes,no,no,1335070,0,yes
176,male,person,low risk,no,Tehran,annually,365,4560000000,50000000,150000000,5,250000,no,no,no,2503508,0,no
177,male,person,low risk,no,Ilam,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,2002446,0,no
178,male,company,low risk,no,Mazandaran,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,2621486,0,no
179,female,company,low risk,no,Hamedan,annually,365,3040000000,20000000,40000000,0,0,no,no,no,3112478,0,no
180,male,company,moderate risk,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,29312286,0,no
181,male,person,moderate risk,yes,Kerman,annually,365,1520000000,15000000,15000000,5,250000,no,no,no,1838040,0,no
182,male,person,risky,no,Razavi Khorasan,annually,365,3040000000,5000000,10000000,5,250000,yes,no,no,6243188,0,yes
183,male,person,risky,no,Isfahan,annually,365,3040000000,5000000,10000000,5,500000,no,no,no,8001410,0,no
184,male,person,low risk,no,Isfahan,annually,365,1520000000,10000000,10000000,5,250000,no,no,no,1949234,0,no
185,male,person,low risk,no,Fars,annually,365,1520000000,30000000,30000000,5,250000,yes,no,no,1060000,0,no
186,male,person,moderate risk,no,Qom,annually,365,1520000000,20000000,40000000,10,1000000,no,no,no,4665590,0,no
187,male,person,risky,no,Fars,annually,365,1520000000,30000000,30000000,5,250000,yes,no,no,1060000,0,no
188,male,company,risky,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,10192642,0,no
189,male,person,moderate risk,no,Isfahan,annually,365,3040000000,40000000,80000000,5,250000,no,no,no,1823624,0,no
190,male,company,moderate risk,no,Fars,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,2231300,0,no
191,male,company,moderate risk,no,Fars,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,2317054,0,no
192,male,person,risky,no,Isfahan,annually,365,3040000000,20000000,40000000,0,0,no,no,no,7856932,0,no
193,male,person,moderate risk,no,Fars,annually,365,3040000000,50000000,100000000,5,250000,no,no,yes,3500000,0,no
194,male,person,moderate risk,no,Fars,annually,365,3040000000,50000000,100000000,5,250000,no,no,yes,6000000,0,no
195,male,person,moderate risk,no,Lorestan,annually,365,4560000000,10000000,30000000,0,0,yes,no,no,2897298,0,no
196,male,person,risky,no,Isfahan,daily,120,1520000000,20000000,20000000,5,250000,no,no,no,2392102,0,no
197,male,person,moderate risk,no,Isfahan,annually,365,3040000000,50000000,100000000,0,0,no,no,no,2966410,0,no
198,male,person,low risk,yes,Isfahan,annually,365,7600000000,15000000,75000000,5,250000,yes,no,no,2327124,0,yes
199,male,company,moderate risk,no,Markazi,annually,365,3040000000,20000000,40000000,10,250000,no,no,no,14733576,0,no
200,female,person,low risk,no,Tehran,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,2601134,0,no
201,female,company,low risk,no,Markazi,daily,120,4560000000,20000000,60000000,10,250000,no,no,no,12972280,0,no
202,male,person,low risk,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,2408850,0,yes
203,male,person,moderate risk,no,Isfahan,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,4486768,0,no
204,male,person,risky,no,Isfahan,annually,365,1520000000,30000000,30000000,5,500000,no,no,no,3395710,0,no
205,male,person,moderate risk,no,Isfahan,annually,365,3040000000,15000000,30000000,5,250000,yes,no,no,6509460,0,yes
206,male,person,moderate risk,yes,Isfahan,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,5475960,0,no
207,male,person,moderate risk,no,Tehran,annually,365,7600000000,30000000,150000000,5,250000,no,no,no,3183074,0,no
208,male,company,moderate risk,yes,Khuzestan,daily,30,3040000000,30000000,60000000,5,250000,no,no,no,1060000,0,no
209,male,person,risky,no,Chaharmahal and Bakhtiari,annually,365,3040000000,10000000,20000000,0,0,no,no,no,1694940,0,no
210,male,person,risky,no,Hormozgan,annually,365,6080000000,20000000,80000000,5,250000,yes,no,no,8372198,0,yes
211,male,person,risky,no,Hormozgan,annually,365,6080000000,20000000,80000000,5,250000,no,no,no,9630736,0,no
212,male,person,risky,no,Hormozgan,annually,365,3040000000,40000000,80000000,5,250000,yes,no,no,6413954,0,yes
213,female,company,low risk,yes,Razavi Khorasan,annually,365,6080000000,10000000,40000000,10,250000,no,no,no,42448866,0,no
214,female,company,moderate risk,no,Kerman,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,9379728,0,no
215,male,company,risky,yes,Semnan,annually,365,7600000000,50000000,250000000,5,250000,yes,no,no,16563136,0,no
216,male,person,low risk,yes,Isfahan,annually,365,4560000000,20000000,60000000,5,250000,yes,no,no,1423580,0,no
217,female,person,low risk,yes,Isfahan,annually,365,4560000000,20000000,60000000,5,250000,yes,no,no,1498522,0,no
218,female,person,low risk,no,Alborz,annually,365,1520000000,20000000,20000000,25,1500000,no,no,no,7811034,0,no
219,female,company,low risk,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,15988510,0,no
220,male,person,low risk,no,Isfahan,short term,364,4560000000,30000000,90000000,5,250000,no,no,no,7561722,0,no
221,male,person,moderate risk,yes,Markazi,annually,365,4560000000,30000000,90000000,10,250000,no,no,no,1494600,0,no
222,male,person,moderate risk,no,Mazandaran,daily,182,1520000000,20000000,20000000,5,250000,no,no,no,1525870,0,no
223,male,person,moderate risk,no,Kerman,annually,365,1520000000,5000000,5000000,5,250000,no,no,no,2485276,0,no
224,male,person,moderate risk,no,Kerman,annually,365,7600000000,10000000,80000000,5,250000,yes,no,no,8507348,0,yes
225,male,person,risky,no,Sistan and Baluchestan,annually,365,12160000000,0,0,0,0,no,no,yes,6784000,0,no
226,male,person,low risk,no,Fars,annually,365,4560000000,40000000,120000000,5,250000,no,no,no,4991434,0,no
227,male,company,moderate risk,yes,Golestan,annually,365,15200000000,10000000,100000000,5,300000,yes,no,no,18253200,0,no
228,male,person,moderate risk,yes,Razavi Khorasan,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,3466094,0,no
229,male,person,low risk,no,Markazi,annually,365,1520000000,20000000,20000000,10,250000,no,no,no,2126784,0,no
230,male,company,moderate risk,no,Qazvin,annually,365,3040000000,10000000,20000000,5,250000,no,no,no,6206088,0,no
231,male,person,moderate risk,no,Semnan,annually,365,1520000000,20000000,20000000,5,250000,no,no,no,2924328,0,no
232,male,person,low risk,no,Isfahan,annually,365,4560000000,20000000,60000000,5,100000,no,no,no,8386614,0,no
233,male,person,low risk,no,Isfahan,annually,365,4560000000,20000000,60000000,5,250000,no,no,no,3475634,0,no
234,male,person,moderate risk,no,Qazvin,daily,89,3040000000,30000000,60000000,5,250000,yes,no,no,2653074,0,no
235,male,person,low risk,no,Semnan,annually,365,3040000000,50000000,100000000,5,250000,yes,no,no,2408850,0,yes
236,male,person,moderate risk,no,Razavi Khorasan,annually,365,1520000000,10000000,10000000,5,250000,yes,no,no,3525454,0,yes
237,male,person,moderate risk,no,Fars,annually,365,1520000000,30000000,30000000,5,250000,no,no,yes,1940000,0,no
238,male,company,risky,yes,Mazandaran,annually,365,1520000000,10000000,10000000,5,250000,yes,no,no,2100814,0,yes
239,male,company,moderate risk,no,Tehran,daily,93,3040000000,30000000,60000000,5,250000,yes,no,no,1920781,0,yes
240,male,company,risky,yes,Tehran,short term,305,7600000000,50000000,250000000,5,250000,no,no,no,9255814,0,no
241,male,company,moderate risk,no,Isfahan,annually,365,3040000000,20000000,40000000,5,250000,no,no,no,11564706,0,no
242,male,person,moderate risk,no,Kerman,annually,365,1520000000,20000000,20000000,10,500000,yes,no,no,2727592,0,yes
243,male,person,low risk,no,Chaharmahal and Bakhtiari,annually,365,3040000000,10000000,20000000,0,0,no,no,no,2874190,0,no
